COM COD,Course ID,Course title,Credit LPU,Section,Instructor/IC,Room,Days/Hours,Midsem date,Compre date
,,,,3,TBA,123,T2 W5 Th1 F3,,
,,,,4,Suhel Ahmad Khan,165,M7 T6 W2 Th5,,
,,,,5,A Somasundaram,185,M7 T5 W2 Th5,,
,,,,6,TBA,190,M7 T6 W2 Th5,,
1012,MATH F113,PROBABILITY & STATISTICS,3 0 3,1,MANEESHA,165,M3 T8 W1 F5,03.11.2023 FN,09.01.2024 FN
,,,,2,Suhel Ahmad Khan,185,M5 T4 W8 F5,,
,,,,3,MANEESHA,190,M1 T5 W7 Th2,,
1022,MATH F211,MATHEMATICS III,3 0 3,1,S BASKARAN,228,M3 T4 W4 Th5,01.11.2023 AN,03.01.2024 AN
,,,,2,S Baskaran,220,T1 W8 Th1 F5,,
1122,MATH F212,OPTIMIZATION,3 0 3,1,MANEESHA,223,M5 W5 Th9,01.11.2023 AN,03.01.2024 AN
1662,MATH F266,STUDY PROJECT,3,1,R ROOP KUMAR,,,,
1679,MATH F366,LABORATORY PROJECT,3,1,R ROOP KUMAR,,,,
1747,MATH F367,LABORATORY PROJECT,3,1,R ROOP KUMAR,,,,
1696,MATH F376,DESIGN PROJECT,3,1,R ROOP KUMAR,,,,
1763,MATH F377,DESIGN PROJECT,3,1,R ROOP KUMAR,,,,
1721,MATH F491,SPECIAL PROJECT,3,1,R ROOP KUMAR,,,,
2379,ME F112,WORKSHOP PRACTICE,1 1 2,1,RAVINDRA BHARDWAJ,165,T5,06.11.2023 FN,11.01.2024 FN
,,,,2,Ravindra Bhardwaj,185,T3,,
,,,,3,Ravindra Bhardwaj,190,M5,,
,,Practical,,1,Ravindra Bhardwaj,MG1,M89,,
,,,,2,Ram Karthikeyan,MG1,T34,,
,,,,3,Snehaunshu Choudhury,MG1,T89,,
,,,,4,Gulshan Kumar,MG1,W34,,
,,,,5,Ravindra Bhardwaj,MG1,W89,,
,,,,6,Shashank Khurana,MG1,Th34,,
,,,,7,Gulshan Kumar,MG1,Th89,,
1083,ME F211,MECHANICS OF SOLIDS,3 0 3,1,PRIYANK UPADHYAYA,219,M1 T3 W3 Th2,30.10.2023 AN,02.01.2024 AN
1082,ME F212,FLUID MECHANICS,3 0 3,1,MAJID HASAN KHAN,219,T6 W9 Th4 F2,31.10.2023 AN,04.01.2024 AN
2394,ME F216,MATERIALS SCIENCE & ENGINEERING,2 1 3,1,VINCENT S KUMAR,219,M9 T8 W1 Th8,02.11.2023 AN,08.01.2024 AN
,,Practical,,1,Vincent S Kumar,MF3,W56,,
2396,ME F217,APPLIED THERMODYNAMICS,3 1 4,1,Snehaunshu Choudhury,219,T5 W8 Th3 F1,06.11.2023 AN,10.01.2024 AN
,,Practical,,1,Majid Hasan Khan,MF4,M456,,
1663,ME F266,STUDY PROJECT,3,1,PRIYANK UPADHYAYA,,,,
